readID	chr1	pos1	chr2	pos2	strand1	strand2
LH00190:306:22GKCGLT3:3:1103:1046:24569	chr10	14060178	chr12	113940678	+	+
LH00190:306:22GKCGLT3:3:1103:1092:12119	chr14	38074992	chr19	9199744	+	+
LH00190:306:22GKCGLT3:3:1103:1102:7265	chr1	59312680	chr6	79754026	+	+
LH00190:306:22GKCGLT3:3:1103:1120:15949	chr12	67389323	chr14	80932261	+	+
LH00190:306:22GKCGLT3:3:1103:1139:9444	chr3	77886311	chr7	127583919	+	+
LH00190:306:22GKCGLT3:3:1103:1139:22294	chr10	12224922	chr15	69251350	+	+
LH00190:306:22GKCGLT3:3:1103:1139:22294	chr10	12224922	chr15	69251570	+	+
LH00190:306:22GKCGLT3:3:1103:1176:27292	chr5	136982804	chr7	13511994	+	+
LH00190:306:22GKCGLT3:3:1103:1194:2907	chr5	43709885	chr14	16996245	+	+
LH00190:306:22GKCGLT3:3:1103:1203:11671	chr18	35922995	chrX	18277877	+	+
LH00190:306:22GKCGLT3:3:1103:1213:9700	chr12	17313626	chr19	43918201	+	+
LH00190:306:22GKCGLT3:3:1103:1213:11206	chr4	119971548	chr7	66130747	+	+
LH00190:306:22GKCGLT3:3:1103:1268:28094	chr5	99320447	chr9	57001113	+	+
LH00190:306:22GKCGLT3:3:1103:1287:9476	chr4	130189555	chr12	78835393	+	+
LH00190:306:22GKCGLT3:3:1103:1314:21605	chr5	74685824	chr18	38499518	+	+
LH00190:306:22GKCGLT3:3:1103:1324:12360	chr5	144778431	chr11	89574199	+	+
LH00190:306:22GKCGLT3:3:1103:1370:4397	chr8	46724914	chr14	52284740	+	+
LH00190:306:22GKCGLT3:3:1103:1370:4397	chr8	46676728	chr14	52284740	+	+
LH00190:306:22GKCGLT3:3:1103:1379:2362	chr4	130045407	chr7	141478547	+	+
LH00190:306:22GKCGLT3:3:1103:1416:11142	chr6	76335067	chr19	53830546	+	+
