chrom1	chrom2	policy	selected_swap_code	selected_swap1	selected_swap2	flip_source	n_eval_contacts	top1_accuracy	same_cross_accuracy	pmax_threshold_accuracy	pmax_threshold_recall
chr1	chr2	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	blind_same_cross_distance_sum	0	0	0	blind_posterior_reconstruction_geometry	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	blind_posterior_mass_same_cross	0	0	0	blind_posterior_reconstruction_geometry	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	blind_chrom_center_same_closer	0	0	0	blind_reconstruction_geometry	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr2	blind_chrom_homolog_vector_dot	0	0	0	blind_reconstruction_geometry	1440	0.397916667	0.595833333	0.631578947	0.116666667
chr1	chr3	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr3	pair_independent_4state_oracle	2	1	0	snp_truth_oracle	1036	0.275096525	0.528957529	0.3125	0.0144787645
chr1	chr3	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr3	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr3	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr3	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr3	blind_same_cross_distance_sum	0	0	0	blind_posterior_reconstruction_geometry	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr3	blind_posterior_mass_same_cross	0	0	0	blind_posterior_reconstruction_geometry	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr3	blind_chrom_center_same_closer	0	0	0	blind_reconstruction_geometry	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr3	blind_chrom_homolog_vector_dot	0	0	0	blind_reconstruction_geometry	1036	0.258687259	0.471042471	0.354166667	0.0164092664
chr1	chr4	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	blind_same_cross_distance_sum	0	0	0	blind_posterior_reconstruction_geometry	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	blind_posterior_mass_same_cross	0	0	0	blind_posterior_reconstruction_geometry	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	blind_chrom_center_same_closer	0	0	0	blind_reconstruction_geometry	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr4	blind_chrom_homolog_vector_dot	0	0	0	blind_reconstruction_geometry	1167	0.477292202	0.616966581	0.489065606	0.42159383
chr1	chr5	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	865	0.253179191	0.47283237	0.294117647	0.0693641618
chr1	chr5	pair_independent_4state_oracle	1	0	1	snp_truth_oracle	865	0.263583815	0.52716763	0.259803922	0.0612716763
chr1	chr5	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	865	0.253179191	0.47283237	0.294117647	0.0693641618
chr1	chr5	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	865	0.253179191	0.47283237	0.294117647	0.0693641618
chr1	chr5	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	865	0.253179191	0.47283237	0.294117647	0.0693641618
chr1	chr5	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	865	0.253179191	0.47283237	0.294117647	0.0693641618
chr1	chr5	blind_same_cross_distance_sum	1	0	1	blind_posterior_reconstruction_geometry	865	0.263583815	0.52716763	0.259803922	0.0612716763
chr1	chr5	blind_posterior_mass_same_cross	1	0	1	blind_posterior_reconstruction_geometry	865	0.263583815	0.52716763	0.259803922	0.0612716763
chr1	chr5	blind_chrom_center_same_closer	1	0	1	blind_reconstruction_geometry	865	0.263583815	0.52716763	0.259803922	0.0612716763
chr1	chr5	blind_chrom_homolog_vector_dot	1	0	1	blind_reconstruction_geometry	865	0.263583815	0.52716763	0.259803922	0.0612716763
chr1	chr6	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1600	0.58375	0.705	0.733804476	0.389375
chr1	chr6	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	1600	0.58375	0.705	0.733804476	0.389375
chr1	chr6	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	1600	0.58375	0.705	0.733804476	0.389375
chr1	chr6	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1600	0.58375	0.705	0.733804476	0.389375
chr1	chr6	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1600	0.58375	0.705	0.733804476	0.389375
chr1	chr6	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	1600	0.58375	0.705	0.733804476	0.389375
chr1	chr6	blind_same_cross_distance_sum	1	0	1	blind_posterior_reconstruction_geometry	1600	0.12875	0.295	0.101295642	0.05375
chr1	chr6	blind_posterior_mass_same_cross	1	0	1	blind_posterior_reconstruction_geometry	1600	0.12875	0.295	0.101295642	0.05375
chr1	chr6	blind_chrom_center_same_closer	1	0	1	blind_reconstruction_geometry	1600	0.12875	0.295	0.101295642	0.05375
chr1	chr6	blind_chrom_homolog_vector_dot	1	0	1	blind_reconstruction_geometry	1600	0.12875	0.295	0.101295642	0.05375
chr1	chr7	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	778	0.277634961	0.523136247	0.256578947	0.100257069
chr1	chr7	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	778	0.277634961	0.523136247	0.256578947	0.100257069
chr1	chr7	blind_geom_nearest_to_posterior_top	0	0	0	blind_posterior_reconstruction_geometry	778	0.277634961	0.523136247	0.256578947	0.100257069
chr1	chr7	blind_geom_nearest_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	778	0.277634961	0.523136247	0.256578947	0.100257069
chr1	chr7	blind_margin_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	778	0.277634961	0.523136247	0.256578947	0.100257069
chr1	chr7	blind_pmax_geom_gap_weighted	0	0	0	blind_posterior_reconstruction_geometry	778	0.277634961	0.523136247	0.256578947	0.100257069
chr1	chr7	blind_same_cross_distance_sum	1	0	1	blind_posterior_reconstruction_geometry	778	0.271208226	0.476863753	0.286184211	0.111825193
chr1	chr7	blind_posterior_mass_same_cross	1	0	1	blind_posterior_reconstruction_geometry	778	0.271208226	0.476863753	0.286184211	0.111825193
chr1	chr7	blind_chrom_center_same_closer	1	0	1	blind_reconstruction_geometry	778	0.271208226	0.476863753	0.286184211	0.111825193
chr1	chr7	blind_chrom_homolog_vector_dot	1	0	1	blind_reconstruction_geometry	778	0.271208226	0.476863753	0.286184211	0.111825193
chr1	chr8	cis_selected_whole_chrom	0	0	0	cis_snp_truth_whole_chrom	1480	0.545945946	0.675	0.791814947	0.300675676
chr1	chr8	pair_independent_4state_oracle	0	0	0	snp_truth_oracle	1480	0.545945946	0.675	0.791814947	0.300675676
