config_name	chrom_pair	score_name	n_contacts	top1_accuracy	same_cross_accuracy	contact_weighted_mean_score	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr11	posterior_nearest_agreement_gap	579	0.208981002	0.487046632	0.787113772	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr12	posterior_nearest_agreement_gap	954	0.0870020964	0.230607966	1.93755175	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr13	posterior_nearest_agreement_gap	1070	0.485981308	0.600934579	1.51621202	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr14	posterior_nearest_agreement_gap	523	0.21414914	0.476099426	0.0167177718	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr15	posterior_nearest_agreement_gap	908	0.128854626	0.22907489	0.26658506	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr16	posterior_nearest_agreement_gap	1086	0.273480663	0.395948435	2.56412624	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr17	posterior_nearest_agreement_gap	693	0.116883117	0.27994228	2.28984656	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr18	posterior_nearest_agreement_gap	585	0.353846154	0.569230769	1.16083784	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chr19	posterior_nearest_agreement_gap	365	0.153424658	0.512328767	0.513670112	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr10__chrX	posterior_nearest_agreement_gap	304	0.282894737	0.549342105	0.854085717	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chr12	posterior_nearest_agreement_gap	595	0.255462185	0.541176471	3.89844218	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chr13	posterior_nearest_agreement_gap	1022	0.110567515	0.226027397	1.21587654	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chr14	posterior_nearest_agreement_gap	903	0.531561462	0.642303433	2.87555882	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chr15	posterior_nearest_agreement_gap	544	0.384191176	0.632352941	2.08357948	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chr16	posterior_nearest_agreement_gap	413	0.222760291	0.455205811	1.19406073	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chr17	posterior_nearest_agreement_gap	479	0.252609603	0.607515658	1.76684295	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chr18	posterior_nearest_agreement_gap	424	0.318396226	0.573113208	1.87921605	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chr19	posterior_nearest_agreement_gap	701	0.57489301	0.681883024	2.70415196	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr11__chrX	posterior_nearest_agreement_gap	864	0.137731481	0.224537037	0.629715166	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr12__chr13	posterior_nearest_agreement_gap	1950	0.0635897436	0.450769231	1.87189	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr12__chr14	posterior_nearest_agreement_gap	451	0.203991131	0.467849224	1.195204	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr12__chr15	posterior_nearest_agreement_gap	928	0.709051724	0.827586207	1.96558797	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr12__chr16	posterior_nearest_agreement_gap	388	0.226804124	0.572164948	2.54399956	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr12__chr17	posterior_nearest_agreement_gap	798	0.241854637	0.547619048	2.99307908	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr12__chr18	posterior_nearest_agreement_gap	541	0.219963031	0.365988909	0.437213749	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr12__chr19	posterior_nearest_agreement_gap	631	0.141045959	0.77496038	1.72316682	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr12__chrX	posterior_nearest_agreement_gap	320	0.18125	0.396875	1.83399872	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr13__chr14	posterior_nearest_agreement_gap	737	0.484396201	0.630936228	1.06884796	1	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	chr13__chr15	posterior_nearest_agreement_gap	395	0.15443038	0.473417722	1.12397036	1	0
