chr1	chr2	n_bpair	n_contacts	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	best_relative_flip_chr2	nearest_geometry_state_accuracy	same_cross_accuracy	pmax90_accuracy	pmax90_recall	truth_state_distance_rank_mean	truth_state_is_nearest_fraction	posterior_top1_distance_rank_mean	posterior_top1_is_nearest_fraction	posterior_top1_distance_gap_mean
chr1	chr2	36	160	1	1	0	1	1	1	0.91875	1	1	1	1	5.30531063
chr1	chr4	19	55	0.636363636	0.636363636	0	0.636363636	1	1	0.218181818	1.36363636	0.636363636	1.01818182	0.981818182	2.01091097
chr1	chr6	123	398	0	0.00502512563	1	0	0.261306533	0	0	3.6080402	0	1	1	2.75239657
chr1	chr8	100	407	0.970515971	0.970515971	0	0.970515971	0.972972973	0.978461538	0.781326781	1.02702703	0.98034398	1	1	3.19641686
chr1	chr9	36	132	0.00757575758	0.909090909	1	0.00757575758	0.0833333333	0.00854700855	0.00757575758	2.84848485	0	1	1	5.87548431
chr1	chr11	67	283	0.392226148	0.586572438	1	0.392226148	0.399293286	0.304347826	0.197879859	1.70318021	0.392226148	1	1	2.72070751
chr1	chr12	4	26	0	0	0	0	1	0	0	4	0	1	1	3.04247142
chr1	chr13	4	13	0.0769230769	0.0769230769	0	0.0769230769	0.0769230769	0	0	3	0	1	1	2.95695868
chr1	chr15	63	203	0	0.00985221675	1	0	0.990147783	0	0	2.08374384	0	1	1	5.8941439
chr1	chr17	63	240	0.983333333	0.983333333	0	0.983333333	0.991666667	0.983050847	0.725	1.02083333	0.991666667	1	1	5.05313043
chr1	chrX	108	286	0.671328671	0.671328671	0	0.667832168	0.961538462	0.626168224	0.468531469	1.90559441	0.671328671	1	1	4.72761538
chr2	chr3	124	400	0.3025	0.6725	1	0.3075	0.3175	0.206081081	0.1525	1.695	0.3075	1.005	0.995	3.06835001
chr2	chr4	110	391	0.989769821	0.989769821	0	0.989769821	0.992327366	0.991477273	0.89258312	1.02046036	0.989769821	1	1	4.8550647
chr2	chr6	121	509	0.00196463654	0.589390963	1	0.00196463654	0.410609037	0	0	3.81139489	0.00196463654	1.02750491	0.972495088	1.71194453
chr2	chr7	59	243	0.567901235	0.567901235	0	0.567901235	0.572016461	0.56846473	0.563786008	1.85596708	0.572016461	1	1	5.6616702
chr2	chr8	111	459	0.973856209	0.973856209	0	0.973856209	0.976034858	0.981081081	0.790849673	1.01525054	0.989106754	1	1	2.97226044
chr2	chr9	155	556	0.451438849	0.544964029	1	0.447841727	0.455035971	0.459923664	0.433453237	2.24280576	0.442446043	1.00359712	0.996402878	5.63251052
chr2	chr11	17	68	0	0	0	0	0.5	0	0	3.02941176	0	1	1	2.51037504
chr2	chr16	89	271	0.487084871	0.505535055	1	0.494464945	0.498154982	0.432	0.199261993	1.65313653	0.490774908	1.01476015	0.985239852	1.48362488
chr2	chr17	17	61	0.31147541	0.31147541	0	0.31147541	0.327868852	0	0	2.78688525	0.31147541	1	1	3.28026479
chr2	chr18	1	2	1	1	0	1	1	NA	0	1	1	1	1	1.97392636
chr2	chrX	28	56	0.0178571429	0.0357142857	1	0.0357142857	0.0535714286	0	0	2.625	0.0357142857	1.01785714	0.982142857	2.10743781
chr3	chr4	2	12	0	0	0	0	0	NA	0	2	0	1	1	0.990349017
chr3	chr7	158	738	0.134146341	0.303523035	1	0.138211382	0.414634146	0.0162412993	0.00948509485	2.48780488	0.139566396	1.02710027	0.972899729	2.32577044
chr3	chr8	33	148	0.425675676	0.425675676	0	0.425675676	0.851351351	0.511363636	0.304054054	2.44594595	0.425675676	1.01351351	0.986486486	2.08299765
chr3	chr11	1	5	0	0	0	0	0	NA	0	2	0	1	1	1.17233724
chr3	chr12	118	457	0.00437636761	0.531728665	1	0.00437636761	0.0131291028	0.00438596491	0.00218818381	2.71334792	0	1.01969365	0.993435449	2.52301614
chr3	chr13	69	222	0.563063063	0.563063063	0	0.608108108	0.572072072	0.381818182	0.0945945946	1.40990991	0.608108108	1.04954955	0.95045045	1.12846673
