source	copy_swap_policy	chrom	copy_swap	selected_for_eval	fallback_geometry_copy_swap	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_accuracy
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr1	0	1	0	22915	11427	0.49866899410866244	0.9794457778747545
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr1	1	0	0	22915	11172	0.4875409120663321	0.9794457778747545
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr2	0	1	1	17189	9024	0.5249869102332887	0.9822560940136134
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr2	1	0	1	17189	7994	0.46506486706614697	0.9822560940136134
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr3	0	0	1	17468	7962	0.4558049003892833	0.9679413785207236
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr3	1	1	1	17468	9061	0.5187199450423632	0.9674833982138769
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr4	0	0	0	15888	7505	0.47236908358509566	0.9859013091641491
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr4	1	1	0	15888	8141	0.5123992950654582	0.9859013091641491
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr5	0	1	1	17244	8012	0.4646253769427047	0.8981674785432614
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr5	1	0	1	17244	7542	0.4373695198329854	0.8972396195778242
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr6	0	0	0	16424	7049	0.429188991719435	0.9834388699464198
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr6	1	1	0	16424	9236	0.5623477837311252	0.9834388699464198
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr7	0	0	1	15809	7239	0.45790372572585236	0.9365551268264912
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr7	1	1	1	15809	7578	0.47934720728698843	0.9365551268264912
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr8	0	0	0	14409	6997	0.4855992782288847	0.986397390519814
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr8	1	1	0	14409	7289	0.5058643903116108	0.986397390519814
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr9	0	0	0	13531	5468	0.40410908284679625	0.820116768901042
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr9	1	1	0	13531	5675	0.41940728697066	0.8188603946493238
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr10	0	0	1	15252	7401	0.4852478363493312	0.9836742722265932
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr10	1	1	1	15252	7671	0.5029504327301337	0.9836742722265932
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr11	0	0	0	13376	6460	0.48295454545454547	0.9863935406698564
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr11	1	1	0	13376	6763	0.505607057416268	0.9863935406698564
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr12	0	1	1	11469	5154	0.4493852995030081	0.8819426279536141
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr12	1	0	1	11469	5056	0.44084052663702156	0.8815938617141861
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr13	0	1	1	12549	6187	0.4930273328552076	0.9812734082397003
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr13	1	0	1	12549	6185	0.49286795760618374	0.9812734082397003
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr14	0	0	1	11838	5712	0.48251393816523064	0.96477445514445
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr14	1	1	1	11838	5761	0.48665315087007943	0.96477445514445
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr15	0	0	0	10256	4190	0.4085413416536661	0.8348283931357254
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr15	1	1	0	10256	4359	0.4250195007800312	0.8374609984399376
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr16	0	0	1	9441	4514	0.47812731702150196	0.9850651414045122
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr16	1	1	1	9441	4794	0.507785192246584	0.9850651414045122
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr17	0	0	0	8275	3943	0.47649546827794564	0.9604833836858006
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr17	1	1	0	8275	4009	0.4844712990936556	0.9604833836858006
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr18	0	1	1	10272	5659	0.5509151090342679	0.9870521806853583
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr18	1	0	1	10272	4470	0.4351635514018692	0.9870521806853583
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr19	0	1	0	5079	2542	0.5004922228785194	0.9783421933451467
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr19	1	0	0	5079	2456	0.48355975585745226	0.9783421933451467
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chrX	0	1	0	6522	3309	0.5073597056117756	0.9822140447715425
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chrX	1	0	0	6522	3111	0.4770009199632015	0.9822140447715425
