chrom	reference_copy	reconstruction_copy	reference_copy_index	reconstruction_copy_index	selected_by_geometry_swap	n_points	n_pairwise_distances	cis_distance_pearson	cis_distance_spearman
chr1	copy0	copy0	0	0	0	189	17766	0.3477287977290223	0.3658068236285736
chr1	copy0	copy1	0	1	1	189	17766	0.49209350011337916	0.5575483528720926
chr1	copy1	copy0	1	0	1	190	17955	0.5613326363956974	0.6051179044181522
chr1	copy1	copy1	1	1	0	190	17955	0.6226721560306605	0.6086092294630604
chr2	copy0	copy0	0	0	1	175	15225	0.7380039111674052	0.7407105422305238
chr2	copy0	copy1	0	1	0	175	15225	0.36811020389577176	0.37347816530927036
chr2	copy1	copy0	1	0	0	174	15051	0.3238217962813574	0.32471391490514495
chr2	copy1	copy1	1	1	1	174	15051	0.6762965696896857	0.7016056330577317
chr3	copy0	copy0	0	0	0	156	12090	0.36990756221280235	0.36250638781742844
chr3	copy0	copy1	0	1	1	156	12090	0.46504940419513763	0.5005918564709234
chr3	copy1	copy0	1	0	1	157	12246	0.5513404540326146	0.5861334159210934
chr3	copy1	copy1	1	1	0	157	12246	0.30488225709416	0.3256869039998961
chr4	copy0	copy0	0	0	0	148	10878	0.5396263747598492	0.5381507767092903
chr4	copy0	copy1	0	1	1	148	10878	0.6593434655798746	0.6908189192848279
chr4	copy1	copy0	1	0	1	148	10878	0.7603887197052716	0.7449740014324443
chr4	copy1	copy1	1	1	0	148	10878	0.3924522276030976	0.3776950776728378
chr5	copy0	copy0	0	0	1	144	10296	0.27196004345116115	0.4477203609525141
chr5	copy0	copy1	0	1	0	144	10296	0.6380180891315032	0.6168427005470458
chr5	copy1	copy0	1	0	0	145	10440	0.32639463254529755	0.5501322270890591
chr5	copy1	copy1	1	1	1	145	10440	0.5394431257305613	0.5730873886445851
chr6	copy0	copy0	0	0	0	146	10585	0.3001727552670536	0.2954047371647469
chr6	copy0	copy1	0	1	1	146	10585	0.49536382409357227	0.5322680435143001
chr6	copy1	copy0	1	0	1	147	10731	0.6144898443111413	0.5924689205510684
chr6	copy1	copy1	1	1	0	147	10731	0.15307501610402466	0.16515177976116616
chr7	copy0	copy0	0	0	1	129	8256	0.26691230138643646	0.2746874352176952
chr7	copy0	copy1	0	1	0	129	8256	0.34640948267008975	0.450667457429841
chr7	copy1	copy0	1	0	0	131	8515	0.28445840105534936	0.3262365777927009
chr7	copy1	copy1	1	1	1	131	8515	0.482873153513517	0.4342170684723382
chr8	copy0	copy0	0	0	0	124	7626	0.4086149986662804	0.40016144805035986
chr8	copy0	copy1	0	1	1	124	7626	0.6216678887222515	0.6129182626352683
chr8	copy1	copy0	1	0	1	123	7503	0.4789294503243458	0.5194994251689536
chr8	copy1	copy1	1	1	0	123	7503	0.5471605872354236	0.5668138185151492
chr9	copy0	copy0	0	0	1	120	7140	0.4137749648279538	0.4048901484109755
chr9	copy0	copy1	0	1	0	120	7140	0.4714498684516133	0.46854462835666666
chr9	copy1	copy0	1	0	0	120	7140	0.6545977201362561	0.5956838594865165
chr9	copy1	copy1	1	1	1	120	7140	0.5060124210931554	0.4802555395779023
chr10	copy0	copy0	0	0	1	127	8001	0.4207310608985227	0.43760754636987553
chr10	copy0	copy1	0	1	0	127	8001	0.45065501281886705	0.4664714989465983
chr10	copy1	copy0	1	0	0	127	8001	0.7929727489407445	0.781305909391606
chr10	copy1	copy1	1	1	1	127	8001	0.44863566267117505	0.4390115611798214
chr11	copy0	copy0	0	0	1	119	7021	0.4629693827468096	0.43597648325768146
chr11	copy0	copy1	0	1	0	119	7021	0.6901082199893757	0.6479482646378427
chr11	copy1	copy0	1	0	0	119	7021	0.7245568802962775	0.7401949934442175
chr11	copy1	copy1	1	1	1	119	7021	0.6445992600065599	0.5937953188286493
chr12	copy0	copy0	0	0	1	110	5995	0.2251085034532197	0.26570140839347833
chr12	copy0	copy1	0	1	0	110	5995	0.3941779002282994	0.4549551963356884
chr12	copy1	copy0	1	0	0	115	6555	0.0834674385436541	0.22532415233604158
chr12	copy1	copy1	1	1	1	115	6555	0.23023222969244186	0.291620853914194
chr13	copy0	copy0	0	0	0	113	6328	0.6332069194521558	0.5590896635555584
chr13	copy0	copy1	0	1	1	113	6328	0.6811498979429927	0.7001017364292912
chr13	copy1	copy0	1	0	1	115	6555	0.8315400997457639	0.8059152326845246
chr13	copy1	copy1	1	1	0	115	6555	0.3991882289537243	0.39687822324597233
chr14	copy0	copy0	0	0	1	109	5886	0.5678807399578225	0.5275340568375861
chr14	copy0	copy1	0	1	0	109	5886	0.4328584572088903	0.4536622314438539
chr14	copy1	copy0	1	0	0	112	6216	0.640568558825927	0.6278841728909414
chr14	copy1	copy1	1	1	1	112	6216	0.5410184413189927	0.5587813968653831
chr15	copy0	copy0	0	0	0	98	4753	0.3854853219328041	0.4067823968382865
chr15	copy0	copy1	0	1	1	98	4753	0.40655749858102647	0.43315910626215326
chr15	copy1	copy0	1	0	1	101	5050	0.549251485337662	0.5729655897565951
chr15	copy1	copy1	1	1	0	101	5050	0.48234585560072984	0.4571163393255952
chr16	copy0	copy0	0	0	1	93	4278	0.31487362048101303	0.3473090950983143
chr16	copy0	copy1	0	1	0	93	4278	0.3639825085915659	0.3762577285487578
chr16	copy1	copy0	1	0	0	94	4371	0.1495296920783594	0.2132114836444887
chr16	copy1	copy1	1	1	1	94	4371	0.5385917824676122	0.4933655823733829
chr17	copy0	copy0	0	0	1	89	3916	0.3548240914059726	0.3974801042754569
chr17	copy0	copy1	0	1	0	89	3916	0.18120959450312304	0.2012411094125953
chr17	copy1	copy0	1	0	0	92	4186	0.22777976517106058	0.25518304263857106
chr17	copy1	copy1	1	1	1	92	4186	0.4265653653212874	0.4612040130916262
chr18	copy0	copy0	0	0	0	87	3741	0.19910028772600133	0.18402759041320918
chr18	copy0	copy1	0	1	1	87	3741	0.39358757606571315	0.5234800171577767
chr18	copy1	copy0	1	0	1	87	3741	0.48618946220800224	0.5348293501215511
chr18	copy1	copy1	1	1	0	87	3741	0.17969268434029156	0.12704632373050773
chr19	copy0	copy0	0	0	1	58	1653	0.25553864430880857	0.30425819176396024
chr19	copy0	copy1	0	1	0	58	1653	0.1481757762684993	0.12202126351116734
chr19	copy1	copy0	1	0	0	58	1653	0.15870519180180823	0.2692660428659162
