chr1	chr2	n_bpair	n_contacts	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	best_relative_flip_chr2	nearest_geometry_state_accuracy	same_cross_accuracy	pmax90_accuracy	pmax90_recall	truth_state_distance_rank_mean	truth_state_is_nearest_fraction	posterior_top1_distance_rank_mean	posterior_top1_is_nearest_fraction	posterior_top1_distance_gap_mean
chr1	chr2	36	160	1	1	0	1	1	1	0.91875	1	1	1	1	4.93134853
chr1	chr4	19	55	0.636363636	0.636363636	0	0.636363636	1	1	0.218181818	1.36363636	0.636363636	1.01818182	0.981818182	1.5641174
chr1	chr6	123	398	0	0.00502512563	1	0	0.261306533	0	0	3.62060302	0	1.01256281	0.987437186	2.47490331
chr1	chr8	100	407	0.970515971	0.970515971	0	0.970515971	0.972972973	0.978461538	0.781326781	1.02702703	0.98034398	1	1	2.73205346
chr1	chr9	36	132	0.00757575758	0.909090909	1	0.00757575758	0.0833333333	0.00854700855	0.00757575758	2.85606061	0	1	1	5.56851197
chr1	chr11	67	283	0.392226148	0.586572438	1	0.392226148	0.399293286	0.304347826	0.197879859	1.70318021	0.392226148	1	1	2.4109212
chr1	chr12	4	26	0	0	0	0	1	0	0	4	0	1	1	2.3920944
chr1	chr13	4	13	0.0769230769	0.0769230769	0	0.0769230769	0.0769230769	0	0	3	0	1	1	2.46181795
chr1	chr15	63	203	0	0.00985221675	1	0	0.990147783	0	0	2.03448276	0	1	1	5.53467514
chr1	chr17	63	240	0.983333333	0.983333333	0	0.983333333	0.991666667	0.983050847	0.725	1.02083333	0.991666667	1	1	4.67808065
chr1	chrX	108	286	0.671328671	0.671328671	0	0.660839161	0.961538462	0.626168224	0.468531469	1.90909091	0.664335664	1.00699301	0.993006993	4.49563002
chr2	chr3	124	400	0.3025	0.6725	1	0.3075	0.3175	0.206081081	0.1525	1.695	0.3075	1.005	0.995	2.6454269
chr2	chr4	110	391	0.989769821	0.989769821	0	0.989769821	0.992327366	0.991477273	0.89258312	1.02046036	0.989769821	1	1	4.35850732
chr2	chr6	121	509	0.00196463654	0.589390963	1	0.00196463654	0.410609037	0	0	3.85854617	0.00196463654	1.021611	0.978388998	1.5211841
chr2	chr7	59	243	0.567901235	0.567901235	0	0.567901235	0.572016461	0.56846473	0.563786008	1.85596708	0.572016461	1	1	5.29936579
chr2	chr8	111	459	0.973856209	0.973856209	0	0.973856209	0.976034858	0.981081081	0.790849673	1.01525054	0.989106754	1	1	2.53494307
chr2	chr9	155	556	0.451438849	0.544964029	1	0.447841727	0.455035971	0.459923664	0.433453237	2.24820144	0.442446043	1.00359712	0.996402878	5.29552639
chr2	chr11	17	68	0	0	0	0	0.5	0	0	3.02941176	0	1	1	2.24128924
chr2	chr16	89	271	0.487084871	0.505535055	1	0.501845018	0.498154982	0.432	0.199261993	1.64575646	0.498154982	1.05166052	0.948339483	1.24639819
chr2	chr17	17	61	0.31147541	0.31147541	0	0.31147541	0.327868852	0	0	2.78688525	0.31147541	1	1	2.97781103
chr2	chr18	1	2	1	1	0	1	1	NA	0	1	1	1	1	1.74449865
chr2	chrX	28	56	0.0178571429	0.0357142857	1	0.0178571429	0.0535714286	0	0	3.03571429	0.0178571429	1	1	1.65549178
chr3	chr4	2	12	0	0	0	0	0	NA	0	2	0	1	1	0.771648898
chr3	chr7	158	738	0.134146341	0.303523035	1	0.140921409	0.414634146	0.0162412993	0.00948509485	2.48780488	0.142276423	1.00135501	0.998644986	1.98680244
chr3	chr8	33	148	0.425675676	0.425675676	0	0.439189189	0.851351351	0.511363636	0.304054054	2.43243243	0.439189189	1.02702703	0.972972973	1.82777305
chr3	chr11	1	5	0	0	0	0	0	NA	0	2	0	1	1	0.984122452
chr3	chr12	118	457	0.00437636761	0.531728665	1	0.00437636761	0.0131291028	0.00438596491	0.00218818381	2.67177243	0	1.01969365	0.993435449	2.16282919
chr3	chr13	69	222	0.563063063	0.563063063	0	0.603603604	0.572072072	0.381818182	0.0945945946	1.42342342	0.594594595	1.04954955	0.95045045	0.899204645
chr3	chr14	10	46	0	0	0	0	0	0	0	2.45652174	0	1	1	3.53232844
chr3	chr15	21	82	0	0	0	0	0.012195122	0	0	2.23170732	0	1	1	1.60086257
chr3	chr17	10	40	0.125	0.875	1	0.125	0.125	NA	0	2.75	0.125	1	1	0.870979783
chr3	chr18	49	163	0.975460123	0.975460123	0	0.975460123	0.981595092	0.984496124	0.779141104	1.01840491	0.993865031	1	1	3.06219373
chr3	chr19	17	53	0	0	0	0	0	0	0	2	0	1	1	1.93138086
chr4	chr5	169	700	0.397142857	0.397142857	0	0.395714286	0.824285714	0.452873563	0.281428571	2.23	0.401428571	1.00142857	0.998571429	1.8480462
chr4	chr6	9	26	0	0	0	0	0.769230769	0	0	3	0	1.07692308	0.961538462	1.3549015
chr4	chr7	108	418	0.550239234	0.550239234	0	0.550239234	0.557416268	0.49235474	0.385167464	2.23444976	0.559808612	1	1	3.24512154
chr4	chr10	186	815	0.00736196319	0.409815951	1	0.00613496933	0.209815951	0.00505050505	0.00245398773	3.97423313	0	1.01349693	0.986503067	1.16749022
chr4	chr11	4	13	0	0	0	0	0	NA	0	4	0	1	1	0.652273676
chr4	chr12	73	296	0.00337837838	0.0168918919	1	0	0.972972973	0	0	3.66216216	0	1	1	2.27788988
chr4	chr13	6	38	0.0263157895	0.0263157895	0	0.0263157895	0.0263157895	0	0	3.57894737	0.0526315789	1	1	3.10601971
chr4	chr14	13	51	0	0	0	0	0.274509804	0	0	3.03921569	0	1	1	1.03872939
chr4	chr16	14	28	0.0357142857	0.714285714	1	0.0357142857	0.0357142857	0	0	2.60714286	0.0357142857	1	1	1.64927481
chr4	chr17	1	6	0	0	0	0	1	NA	0	4	0	1	1	1.05576157
chr4	chr19	7	35	0	0	0	0	0.628571429	0	0	3	0	1	1	1.18298465
chr4	chrX	88	252	0	0.202380952	1	0	0.00793650794	0	0	3.59126984	0	1	1	2.24402769
chr5	chr6	7	40	0.25	0.25	0	0.25	0.25	0.333333333	0.25	2.325	0.275	1	1	4.02638495
chr5	chr9	236	955	0.686910995	0.686910995	0	0.686910995	0.701570681	0.696574225	0.447120419	1.47225131	0.691099476	1.00418848	0.995811518	1.49241126
chr5	chr10	86	407	0.191646192	0.461916462	1	0.250614251	0.228501229	0	0	2.13759214	0.253071253	1.06633907	0.933660934	0.884799835
chr5	chr11	16	40	0.8	0.8	0	0.8	0.975	0.823529412	0.35	1.375	0.875	1.15	0.95	2.89685003
chr5	chr13	4	16	1	1	0	1	1	1	0.625	1	1	1	1	4.17894394
chr5	chr14	64	233	0.536480687	0.536480687	0	0.540772532	0.587982833	1	0.343347639	1.84549356	0.540772532	1.03004292	0.987124464	1.33337067
chr5	chr15	1	4	0	0	0	0	1	NA	0	3	0	1	1	0.868807962
chr5	chr16	87	339	0.191740413	0.191740413	0	0.203539823	0.297935103	0.0198675497	0.00884955752	2.17699115	0.212389381	1.01474926	0.985250737	1.4915953
chr5	chr18	66	260	0.223076923	0.223076923	0	0.230769231	0.223076923	0.147286822	0.0730769231	1.86153846	0.238461538	1.00769231	0.992307692	1.34191255
chr5	chr19	25	115	0.808695652	0.808695652	0	0.808695652	0.808695652	0.89	0.773913043	1.31304348	0.8	1	1	4.21213927
chr6	chr9	40	131	0	0.00763358779	1	0	0	0	0	2.6870229	0	1	1	5.00458368
chr6	chr10	103	329	0.76899696	0.76899696	0	0.76899696	0.790273556	0.604651163	0.237082067	1.22796353	0.781155015	1	1	1.72225833
chr6	chr13	26	51	0.960784314	0.960784314	0	0.980392157	0.960784314	1	0.176470588	1	1	1.05882353	0.980392157	4.0320728
chr6	chr14	129	453	0.518763797	0.518763797	0	0.518763797	0.525386313	0.519637462	0.379690949	1.8410596	0.51214128	1	1	2.78671707
chr6	chr16	111	366	0.385245902	0.385245902	0	0.385245902	0.871584699	0.364864865	0.221311475	2.57650273	0.390710383	1	1	2.01937555
chr6	chr17	8	38	0	0	0	0	1	0	0	2.92105263	0	1	1	2.95663604
chr6	chr18	34	116	0.0431034483	0.603448276	1	0.0431034483	0.0603448276	0	0	2.31034483	0.0431034483	1	1	2.25495527
chr6	chr19	64	295	0.969491525	0.969491525	0	0.969491525	0.972881356	0.974264706	0.898305085	1.03728814	0.986440678	1.00338983	0.996610169	4.56176361
chr7	chr8	1	7	0	0	0	0	0	NA	0	3	0	1	1	3.36491704
chr7	chr12	39	173	0.49132948	0.49132948	0	0.497109827	0.514450867	0.771428571	0.312138728	1.57225434	0.50867052	1.08092486	0.936416185	1.35679896
chr7	chr14	36	103	0	0	0	0	0	0	0	2.82524272	0	1	1	4.60318373
chr7	chr15	6	17	0	0	0	0	0	NA	0	4	0	1	1	1.70952776
chr7	chr18	111	410	0.00487804878	0.00487804878	0	0.00487804878	0.0170731707	0.00576368876	0.00487804878	2.84146341	0	1	1	4.42183311
chr7	chr19	12	45	0	0	0	0	0.0222222222	0	0	3	0	1	1	2.64019684
chr8	chr11	389	1600	0.253125	0.256875	1	0.2525	0.39875	0.306616962	0.205625	2.54125	0.255	1.004375	0.995625	1.64558804
chr8	chr13	12	30	0.0333333333	0.0333333333	0	0.0333333333	1	NA	0	4	0	1	1	1.14427975
chr8	chr14	50	304	0.0328947368	0.0328947368	0	0.0328947368	0.588815789	0.0109289617	0.00657894737	2.59868421	0.0296052632	1	1	1.82541321
chr8	chr15	138	437	0.95194508	0.95194508	0	0.95194508	0.961098398	0.986522911	0.837528604	1.05263158	0.963386728	1	1	3.32804704
chr8	chr17	4	18	0.888888889	0.888888889	0	1	0.888888889	1	0.611111111	1	1	1.22222222	0.888888889	2.21576522
chr8	chr18	4	14	1	1	0	1	1	NA	0	1	1	1	1	0.2649343
chr8	chr19	35	166	0.644578313	0.644578313	0	0.644578313	0.674698795	0.711864407	0.506024096	1.48795181	0.63253012	1.04819277	0.981927711	2.69057672
chr8	chrX	5	17	0	1	1	0	0	NA	0	3.94117647	0	1	1	1.66008698
chr9	chr11	3	6	0	1	1	0	0	NA	0	3.33333333	0	1	1	0.530286358
chr9	chr12	10	45	0.977777778	0.977777778	0	0.977777778	0.977777778	0.977272727	0.955555556	1	1	1	1	5.60429618
chr9	chr16	69	161	0.0745341615	0.0745341615	0	0.124223602	0.298136646	0	0	3.39130435	0.124223602	1.11801242	0.881987578	1.28563258
