source	copy_swap_policy	chrom	copy_swap	selected_for_eval	fallback_geometry_copy_swap	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_accuracy
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr1	0	0	1	14946	6166	0.41255185333868594	0.9354342298942862
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr1	1	1	1	14946	7808	0.522414023819082	0.9354342298942862
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr2	0	1	1	10603	5391	0.5084410072620956	0.9580307460152787
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr2	1	0	1	10603	4747	0.4477034801471282	0.9580307460152787
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr3	0	0	1	11579	5208	0.44977977372830125	0.9787546420243545
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr3	1	1	1	11579	6129	0.5293203212712669	0.9787546420243545
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr4	0	1	0	9950	4810	0.4834170854271357	0.9560804020100503
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr4	1	0	0	9950	4720	0.4743718592964824	0.9560804020100503
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr5	0	1	1	10445	5017	0.4803255146002872	0.935375777884155
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr5	1	0	1	10445	4753	0.4550502632838679	0.935375777884155
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr6	0	1	1	10544	5284	0.5011380880121397	0.9198596358118362
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr6	1	0	1	10544	4429	0.42004931714719274	0.9198596358118362
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr7	0	0	1	9666	4371	0.452203600248293	0.9047175667287399
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr7	1	1	1	9666	4379	0.45303124353403684	0.9047175667287399
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr8	0	1	1	8393	4169	0.4967234600262123	0.9799833194328608
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr8	1	0	1	8393	4042	0.4815918026927201	0.9799833194328608
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr9	0	1	1	8381	4754	0.5672354134351509	0.9543013960147954
